PLS_id,g1,resopfrac,tleaf,twood,troot,aleaf,awood,aroot,c4,leaf_n2c,awood_n2c,froot_n2c,leaf_p2c,awood_p2c,froot_p2c,amp,pdia
0.0,11.753450314667806,0.497764629082225,3.8166202452827904,0.0,0.08494456174557968,0.7225,0.0,0.2775,0.0,0.04201140228045609,0.0,0.04876415283056611,0.0006260252050410081,0.0,0.0033095419083816763,0.038829294394617804,0.0
1.0,5.08167270423477,0.6922369349797179,4.56265630532875,0.0,1.1475135296549215,0.76125,0.0,0.23875,0.0,0.04224664932986598,0.0,0.03224084816963392,0.00783124624924985,0.0,0.0016961792358471694,0.9017403905240471,0.0
2.0,9.535938600859023,0.36106874858998705,2.070409498967817,87.96099178552709,5.658735254104412,0.13875,0.5325,0.32875,0.0,0.025847969593918788,0.003021804360872175,0.018302260452090418,0.007993098619723945,0.0006140749749949991,0.0032409081816363273,0.21355529358989075,0.0
3.0,3.7182934339504476,0.5461349492941938,3.6585258525917186,91.69594124157783,5.432871079603349,0.78375,0.085,0.13125,0.0,0.03920804160832167,0.005050810162032407,0.020910582116423285,0.0010204240848169634,0.0007563242248449691,0.0008039407881576316,0.3390401592216957,0.04302091990885588
4.0,11.941878639885735,0.6639856808075295,2.97576604156516,75.00671617037716,2.2845957038355693,0.6325,0.05625,0.31125,0.0,0.045304860972194445,0.009645329065813165,0.057037607521504295,0.008108441688337667,0.001867950070014003,0.001376515303060612,0.4855251399887615,0.0
5.0,4.232764032249974,0.6777437782214759,3.094726035224721,17.63585378993309,2.849649050806388,0.33625,0.58125,0.0825,0.0,0.048627725545109024,0.005601720344068814,0.04098639727945589,0.004536527305461092,0.0012025011402280457,0.00238251650330066,0.02041106165847265,0.0
6.0,1.9783851197781972,0.5696093716887547,8.022576969062886,94.91453515658469,2.3799720070898296,0.20875,0.4075,0.38375,0.0,0.03188597719543909,0.005635927185437088,0.009120024004800959,0.009334426885377075,0.0012892384876975397,0.0015880576115223043,0.4973617109703601,0.0
7.0,6.885829910802359,0.6539692721007093,2.7525765052946207,41.973151012158645,4.236663623968031,0.09,0.86,0.05,0.0,0.01666353270654131,0.009301460292058413,0.017499699939987998,0.0032919383876775354,0.0005058267653530707,0.0036668133626725345,0.4870485574180626,0.07570907479386298
8.0,3.568802590323904,0.4763963409820222,0.6940912492271868,75.41100641067675,6.381213550098,0.14,0.18375,0.67625,0.0,0.013762152430486098,0.009895579115823165,0.005543908781756351,0.007546609321864372,0.002359924304860972,0.001327625525105021,0.32799119271519606,0.0
9.0,4.503655405636959,0.32360133537620195,7.651448864916436,25.443564064838903,3.7368686954997288,0.29875,0.455,0.24625,0.0,0.01828085617123425,0.00671614322864573,0.05172654530906181,0.00399887977595519,0.0015501444288857774,0.0025780756151230245,0.506119746915899,0.09667948669529992
