PLS_id,g1,resopfrac,tleaf,twood,troot,aleaf,awood,aroot,c4,leaf_n2c,awood_n2c,froot_n2c,leaf_p2c,awood_p2c,froot_p2c,amp,pdia,sla_random,wd_random,restime_sap
0.0,16.5480385787511,0.5771310000641252,1.7881008843273631,0.0,7.852485807683985,0.66125,0.0,0.33875,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.33565327078943835,0.0,0.017736844766718315,0.6377214851638544,15.42962621958199
1.0,15.214071768111255,0.4581805676283481,2.886463683518013,0.0,7.45645759534773,0.5125,0.0,0.4875,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.2911096174339091,0.0,0.022366674333582068,0.31342061540382654,11.577601070293005
2.0,6.427327659100594,0.38197492231343355,2.5479965115475522,0.0,6.584186219275117,0.50625,0.0,0.49375,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.9833146301209044,0.0,0.034409434745084705,0.8518415171494176,18.06513052809491
3.0,7.256011031715962,0.2843877467956035,1.8796195189000204,0.0,2.3604115425304113,0.70375,0.0,0.29625,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.8798309191765371,0.0,0.04700227375608432,0.36130940595892647,11.994579166214233
4.0,8.28237368088279,0.2493146374795595,7.548509063819099,0.0,4.217384984053853,0.74125,0.0,0.25875,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.15266970589937767,0.0,0.013852966183426508,0.46857911278499004,18.109816703850363
5.0,7.382038487862728,0.5588716439402446,7.173513629973831,0.0,7.822804176145237,0.73,0.0,0.27,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.9287028303821709,0.0,0.0410082257541278,0.7460181651887904,17.959448545418333
6.0,4.674778289490655,0.4144739839521372,5.313799817878306,0.0,3.450160910411506,0.76125,0.0,0.23875,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.9860067620795164,0.0,0.0320219738758642,0.44899539583213144,17.28270073639112
7.0,2.950684581882173,0.24871042229524098,7.642393598337872,0.0,3.50253663684035,0.8225,0.0,0.1775,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.8125662775490037,0.0,0.022669496756270315,0.35331621363717114,16.011836246667222
8.0,17.179342903671717,0.26403354920457023,5.426389585180099,0.0,0.2818710676218814,0.37,0.0,0.63,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.8796225850886804,0.0,0.026005022671815307,0.9801660287438816,15.986750857208609
9.0,10.974434288330174,0.48883304670218247,6.90171606846025,0.0,7.650635635649473,0.5075,0.0,0.4925,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.5966120448664595,0.0,0.0138469861900814,0.33653110166917843,14.543080549846321
10.0,2.4458982330034353,0.30672554817473846,0.2384504974895255,0.0,3.061083832182781,0.52125,0.0,0.47875,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.6642454966625904,0.0,0.021070199518805198,0.9223097021422328,10.58855247543227
11.0,10.397066449406479,0.471139973339303,1.5526170430584791,0.0,2.4167202461217725,0.5225,0.0,0.4775,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.8510911277907639,0.0,0.04941305789037774,0.9541253240547856,13.649175293297807
12.0,3.331672400812083,0.20772972053922611,6.490746359877953,0.0,0.6394184000546366,0.24875,0.0,0.75125,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.28559213341460976,0.0,0.02454051699476502,0.586097992776873,17.436686901536188
13.0,4.70757937537415,0.36568468502515894,4.625818938150224,0.0,6.642368340660096,0.7825,0.0,0.2175,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.7664201517083189,0.0,0.0334420693682972,0.6270960284566157,12.071950193532398
14.0,1.1099955212078148,0.4424099151176605,4.114065995240946,0.0,3.1897550058170414,0.4625,0.0,0.5375,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.16534367352570692,0.0,0.03606587161971381,0.8612087408246465,13.29357114916897
15.0,17.043379135863614,0.6022285383143975,3.4102390672091927,0.0,2.3994782104099577,0.5775,0.0,0.4225,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.47348748254764184,0.0,0.04786943996556488,0.500660019713505,14.373497654366089
