PLS_id,g1,resopfrac,tleaf,twood,troot,aleaf,awood,aroot,c4,leaf_n2c,awood_n2c,froot_n2c,leaf_p2c,awood_p2c,froot_p2c,amp,pdia,sla_random,wd_random,restime_sap
0.0,2.5660446604093896,0.493559247145709,4.47721528784198,0.0,6.759560870463067,0.5475,0.0,0.4525,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.6628501376178595,0.0,0.021748947675700812,0.6323056052897473,26.21378241999333
1.0,12.262317825679993,0.5479272822282648,4.7831666340418595,0.0,3.5099552392977023,0.11125,0.0,0.88875,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.4363686251825541,0.0,0.022733495894418414,0.8928074557719492,21.233268892165942
2.0,1.985793730710583,0.5384495777028027,4.70433554187183,0.0,7.345763982809332,0.5725,0.0,0.4275,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.6913980151794475,0.0,0.04013381331492517,0.6072171888388185,31.27481568234508
3.0,7.592260380985178,0.5986199232440184,7.302480830281382,0.0,2.0373564368047723,0.94875,0.0,0.05125,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.9523849246287207,0.0,0.008615665299183638,0.9667762278056753,29.039486022333293
4.0,15.732298201510709,0.20899729468392791,6.072668443117321,0.0,4.122778804754427,0.36625,0.0,0.63375,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.054346012855840425,0.0,0.0406871412805316,0.895913160877108,43.69132729870752
5.0,16.586711052880677,0.6443478977199577,5.362191389601475,0.0,2.7363873243807104,0.09125,0.0,0.90875,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.5976796634104748,0.0,0.023492517155255646,0.5798503634003335,22.096467298467065
6.0,7.111592543791039,0.35226257655451,5.028585889020242,0.0,2.7425539283628004,0.06125,0.0,0.93875,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.4814765124622569,0.0,0.04180326190913034,0.7239057233828381,33.92980628156869
7.0,16.637241739693785,0.3483809349002229,4.481746581543006,0.0,2.392056754546629,0.81625,0.0,0.18375,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.9801326818277537,0.0,0.02285432940387143,0.382459801875174,32.078794318396874
8.0,2.976592206525374,0.23973983434043106,2.2934570256557976,0.0,4.77759950642841,0.6875,0.0,0.3125,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.4174341999228627,0.0,0.029905154390592548,0.6099263713520902,38.600907841439366
9.0,5.550385043372337,0.5283739627093622,3.8889263748276854,0.0,7.505462871224249,0.93375,0.0,0.06625,1.0,0.0255,0.0,0.0305,0.0048,0.0,0.00265,0.7129809163709218,0.0,0.045166367976443446,0.5646053361493689,47.58719830163449
