YEAR,weighted_mean_wd_diff_relative,weighted_mean_g1_diff_relative,weighted_mean_sla_diff_relative
1979,0.0,0.0,0.0
1980,0.3332019181352633,1.7656998228448006,0.5058108720026693
1981,-0.12273050638038853,-3.8094428427049083,-0.7163536718771383
1982,1.4574243125902588,4.241462421461778,0.6971755060131374
1983,-0.7313928206199448,-2.238462580807189,-2.1085793162071416
1984,-0.24563474756801007,2.3539321340046415,1.0480946397886393
1985,-3.3350738636686263,1.0187562553613185,-0.21522955433336521
1986,-2.1049222073424243,-5.903379044277114,2.465752736568751
1987,-4.182050849599781,-0.8551144170972904,5.752802811039838
1988,-8.114667490289074,-0.6261577579807301,7.65654753701313
1989,-7.4476511488364485,2.9231003270917904,7.6056608062192925
1990,-6.662361805328746,-4.41769926281702,4.6248714623562694
1991,-5.412378354392994,-1.881993233449673,3.5544399671331393
1992,-4.09355038695189,-9.631401024402232,4.260537248675708
1993,-2.826484679040512,-2.539401987149661,1.9162303326792935
1994,-9.301840343011838,-7.815772852675608,4.379528764361675
1995,-13.589309560906567,-18.30300293858575,9.784072764014375
1996,-15.696104622896637,-21.1937601339546,10.045194627190755
1997,-27.67675754128626,-27.1863947057305,6.87820825444641
1998,-21.89915808687161,-86.07436268875523,14.294946688965963
1999,-19.316867793272525,-88.03305736070546,8.439368057944707
2000,-22.640693617133106,-85.83587711954608,8.537831375380323
2001,-21.8813851182185,-86.85127699803301,9.87111928955951
2002,-20.263473582736896,-89.78326039616886,11.760345994287329
2003,-20.091461120890656,-91.10759829064857,14.316423432486374
2004,-9.696300412416969,-95.22828368267793,7.772968367304695
2005,-24.48381046974587,-95.84059305072896,13.959853118750079
2006,-100.0,-100.0,-100.0
2007,-100.0,-100.0,-100.0
2008,-100.0,-100.0,-100.0
2009,-100.0,-100.0,-100.0
2010,-100.0,-100.0,-100.0
2011,-100.0,-100.0,-100.0
2012,-100.0,-100.0,-100.0
2013,-100.0,-100.0,-100.0
2014,-100.0,-100.0,-100.0
2015,-100.0,-100.0,-100.0
2016,-100.0,-100.0,-100.0
